"filename", "language", "XML", "Razor", "CSS", "Markdown", "JavaScript", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\EmailService\IEmailService.cs", "C#", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Identity\IdentityContext.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 7, 16
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Identity\SeedData.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 1, 7, 49
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Identity\User.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Migrations\20240312113006_identity1.Designer.cs", "C#", 0, 0, 0, 0, 0, 228, 0, 0, 2, 81, 311
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Migrations\20240312113006_identity1.cs", "C#", 0, 0, 0, 0, 0, 211, 0, 0, 3, 23, 237
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Migrations\IdentityContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 226, 0, 0, 1, 81, 308
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\AddCommentModel.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\AddProductViewModel.cs", "C#", 0, 0, 0, 0, 0, 28, 0, 0, 1, 10, 39
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\AddressModel.cs", "C#", 0, 0, 0, 0, 0, 25, 0, 0, 0, 9, 34
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\AdminDashboardViewModel.cs", "C#", 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\ApplySellerModel.cs", "C#", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\ApplySellerViewModel.cs", "C#", 0, 0, 0, 0, 0, 48, 0, 0, 0, 16, 64
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\CartDetailViewModel.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\CartItemModel.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\CartModel.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\CategoryModel.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\CommentModel.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\ComplaintModel.cs", "C#", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\EditProductViewModel.cs", "C#", 0, 0, 0, 0, 0, 33, 0, 0, 1, 14, 48
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\EditRestaurantViewModel.cs", "C#", 0, 0, 0, 0, 0, 47, 0, 0, 0, 22, 69
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\EditUserViewModel.cs", "C#", 0, 0, 0, 0, 0, 28, 0, 0, 0, 10, 38
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\FeedbackModel.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\HomePageViewModel.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\ListProductViewModel.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\LoginModel.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\OrderItemModel.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\OrderManagerViewModel.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\OrderModel.cs", "C#", 0, 0, 0, 0, 0, 43, 0, 0, 0, 21, 64
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\OrderSummaryViewModel.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\PaymentDateModel.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\PaymentModel.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\ProductModel.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\ProfilePageViewModel.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\RegisterModel.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\RestaurantDetailViewModel.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\RestaurantModel.cs", "C#", 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 54
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\SellerIndexViewModel.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 1, 4, 18
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\UpdatePassword.cs", "C#", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Models\UserModel.cs", "C#", 0, 0, 0, 0, 0, 29, 0, 0, 0, 13, 42
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Program.cs", "C#", 0, 0, 0, 0, 0, 99, 0, 0, 13, 23, 135
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Services\IUserCountService.cs", "C#", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Services\UserCountService.cs", "C#", 0, 0, 0, 0, 0, 28, 0, 0, 1, 5, 34
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Account\AccessDenied.cshtml", "Razor", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Account\ForgotPassword.cshtml", "Razor", 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Account\Login.cshtml", "Razor", 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Account\Register.cshtml", "Razor", 0, 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\AddCategory.cshtml", "Razor", 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\EditCategory.cshtml", "Razor", 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\Index.cshtml", "Razor", 0, 269, 0, 0, 0, 0, 0, 0, 0, 7, 276
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListApplySellers.cshtml", "Razor", 0, 151, 0, 0, 0, 0, 0, 0, 1, 5, 157
